,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
30,BBC,Sat Jul 07 15:08:04 +0000 2018,🖼 How can virtual reality help visually impaired people 'see' art? https://t.co/9Ry7wblTsn,0.4019,0.184,0.816,0.0,31
31,BBC,Sat Jul 07 13:57:03 +0000 2018,"BREAKING: News just in on the #Poldark set... 

#ENGSWE #ENG #WorldCup 

https://t.co/SXiXO99gi4",0.0,0.0,1.0,0.0,32
32,BBC,Sat Jul 07 13:14:05 +0000 2018,😍🖼 10-year-old Kareem is an OUTSTANDING artist. https://t.co/Ip4X0w1dpc,0.694,0.403,0.597,0.0,33
33,BBC,Sat Jul 07 12:51:07 +0000 2018,"Can the #ThreeLions go one step further? Today England face Sweden in the #WorldCup quarter-finals. #ENGSWE

Englan… https://t.co/z7uo1UoVvR",0.0,0.0,1.0,0.0,34
34,BBC,Sat Jul 07 12:36:36 +0000 2018,"RT @BBCOne: To all the Delias out there, we hope you find your Patsy. Happy Pride! 🌈 #Pride2018 https://t.co/uBSjFODU1S",0.8516,0.367,0.633,0.0,35
35,BBC,Sat Jul 07 12:36:04 +0000 2018,RT @bbcthree: This Amazing Human uses coffee to give homeless people a second chance. https://t.co/NkhLSn6KTB,0.7579,0.351,0.649,0.0,36
36,BBC,Sat Jul 07 12:31:04 +0000 2018,"One. Step. Closer. ️⚽️➡️🏠

Here's what could happen if @England won the #WorldCup... 

#ENGSWE #ENG #ThreeLions

https://t.co/XXqMRopNvK",0.5719,0.188,0.812,0.0,37
37,BBC,Sat Jul 07 12:02:02 +0000 2018,"Scientists have designed a special type of drug that helps the body eat and destroy cancerous cells.
👉… https://t.co/0kv12B5SRu",0.2023,0.223,0.63,0.147,38
38,BBC,Sat Jul 07 11:03:09 +0000 2018,From vegetarian chilli to truffle pots: celebrate #WolrdChocolateDay in style with these recipes from @BBCFood. 😍🍫… https://t.co/mlGEbp1WII,0.5719,0.188,0.812,0.0,39
39,BBC,Sat Jul 07 10:07:03 +0000 2018,😂 #Wimbledon has started and suddenly EVERYONE is a tennis expert. https://t.co/TYjCmdDXxP,0.4404,0.203,0.695,0.102,40
40,BBC,Sat Jul 07 09:04:06 +0000 2018,🏃🏻‍♂️ Take a #parkour tour of Glasgow with Scotland's @RobbieJGriffith. https://t.co/SlvAKocTJ2,0.0,0.0,1.0,0.0,41
41,BBC,Sat Jul 07 08:50:30 +0000 2018,"RT @BBCSport: Stop EVERYTHING you are doing! ✋✋✋

Cancel your wedding! 👰
Don't go shopping! 🛍
The holiday can wait! ✈️
Forget that first da…",-0.5526,0.079,0.707,0.214,42
42,BBC,Sat Jul 07 08:50:23 +0000 2018,"RT @bbceastenders: “I realised what an important story it was to tell.”
@Bonnie_Langford and @DavoodGhadami discuss the knife crime storyli…",-0.4019,0.077,0.773,0.15,43
43,BBC,Sat Jul 07 08:38:06 +0000 2018,RT @BBCNews: Steve Ditko: Spider-Man co-creator found dead at 90 https://t.co/Epd0LTJUKP,-0.6486,0.0,0.699,0.301,44
44,BBC,Sat Jul 07 08:03:06 +0000 2018,"Seven years after her death, these previously unseen photographs show Amy Winehouse at ease in front of her friend'… https://t.co/bYoqpBhIeV",-0.34,0.102,0.738,0.16,45
45,BBC,Sat Jul 07 07:04:07 +0000 2018,"Yassine scavenged on the dump for eight years. Now he runs it. 

https://t.co/gUOhlrkv6P",-0.3818,0.0,0.822,0.178,46
46,BBC,Fri Jul 06 20:03:06 +0000 2018,"😺🐾 They sweat through their paws and can't taste sweet things... 

16 things you never knew about cats 👉… https://t.co/IOfDUpm49v",-0.357,0.0,0.885,0.115,47
47,BBC,Fri Jul 06 19:02:04 +0000 2018,"🎶 It's coming home 🎶

@Baddiel and @FrankOnTheRadio's song is sweeping the nation (again!)

Here's the story of how… https://t.co/FTaRd9YNiZ",0.0,0.0,1.0,0.0,48
48,BBC,Fri Jul 06 18:00:25 +0000 2018,😂 How annoying is this? https://t.co/Z2vtjhPZXH,0.0516,0.247,0.455,0.299,49
49,BBC,Fri Jul 06 17:03:02 +0000 2018,"😲🐻 A new study reveals the hidden history of brown bears in Britain, suggesting they still roamed wild 1,500 years… https://t.co/MdvCpNLZHr",0.0,0.0,1.0,0.0,50
50,BBC,Fri Jul 06 16:01:31 +0000 2018,"RT @BBCOne: Sherlock is ALL the goals on #InternationalKissingDay 😍
#Sherlock #BBCSherlock https://t.co/yTcpX43pg7",0.4588,0.167,0.833,0.0,51
51,BBC,Fri Jul 06 16:01:00 +0000 2018,Actual footage of me leaving the office at exactly 5pm... 👋 #FridayFeeling https://t.co/no9vchzANY,0.4939,0.198,0.802,0.0,52
52,BBC,Fri Jul 06 14:35:02 +0000 2018,"RT @BBCCiN: Thank you to everyone who got involved, fundraised and donated to BBC Children in Need last year! You have helped us to raise £…",0.4199,0.1,0.9,0.0,53
53,BBC,Fri Jul 06 14:32:06 +0000 2018,A man had to be rescued by firefighters after he became stuck in melted tarmac in Newcastle. 😰🌡🚒… https://t.co/Vv4Gk8hhuH,0.2023,0.135,0.769,0.096,54
54,BBC,Fri Jul 06 13:08:03 +0000 2018,RT @bbcpress: ‘Painfully funny’ bestseller #ThisIsGoingToHurt by @amateuradam to be adapted as eight-part @BBCTwo comedy-drama: https://t.c…,0.0,0.0,1.0,0.0,55
55,BBC,Fri Jul 06 13:04:04 +0000 2018,"💵👟 A disintegrating trainer worn by Michael J Fox in the Back to the Future sequel has sold for $92,100 (£70,143).… https://t.co/NOGE8qFug2",-0.296,0.0,0.896,0.104,56
56,BBC,Fri Jul 06 12:00:19 +0000 2018,🐝🕺🐝 We all know someone who does the wasp dance. https://t.co/IJm0eTScUS,0.0,0.0,1.0,0.0,57
57,BBC,Fri Jul 06 11:02:07 +0000 2018,Beer glasses have been seized from a restaurant chain in Birmingham after they were found to be too small to contai… https://t.co/qzSLHjzuLO,0.0,0.0,1.0,0.0,58
58,BBC,Fri Jul 06 09:11:30 +0000 2018,"RT @BBCBreaking: Thai cave rescue death:

- Diver named as Saman Kunan
- 'His job was to deliver oxygen, did not have enough on his way bac…",-0.1531,0.109,0.762,0.129,59
59,BBC,Fri Jul 06 09:10:00 +0000 2018,"RT @BBCRadio2: ""I think you and @Pink are the top end of the rock and roll ladies, and keep at it!"" - @flo_tweet was truly touched by this…",0.6114,0.166,0.834,0.0,60
60,BBC,Fri Jul 06 09:03:45 +0000 2018,"RT @BBCSport: ""I'm not David Beckham, so we're in trouble."" 

Gareth Southgate's reaction to his new-found status as a style icon. https://…",0.0,0.0,1.0,0.0,61
61,BBC,Fri Jul 06 09:03:29 +0000 2018,"RT @CBeebiesHQ: Long before @WaffleWonderDog, we had Pippin 🐶🐶

Hands up if you remember Come Outside 🙋‍♂️🙋

#CBeebiesNostalgia 
#Throwback…",0.0,0.0,1.0,0.0,62
62,BBC,Fri Jul 06 09:03:13 +0000 2018,"RT @BBCRadio3: A rare chance to hear this monumental, modern masterpiece.
Gruppen - Stockhausen's avant-garde work for three orchestras fro…",0.7269,0.276,0.724,0.0,63
63,BBC,Fri Jul 06 09:02:44 +0000 2018,"RT @5liveSport: ""You should get a red card if you fake it!"" 🔴

John McEnroe doesn't hold on when giving his thoughts on VAR and 'the guy fr…",-0.2481,0.075,0.818,0.107,64
64,BBC,Fri Jul 06 08:02:01 +0000 2018,💕🎈 Georgina is 96-years-old and organises parties to help combat loneliness. https://t.co/JRAkMDNny8,0.0516,0.29,0.43,0.28,65
65,BBC,Fri Jul 06 07:24:01 +0000 2018,"Why does alcohol affect women more than men?
👉 https://t.co/UNwg06vOl3 https://t.co/HBR4lEMGXV",0.0,0.0,1.0,0.0,66
66,BBC,Fri Jul 06 07:02:05 +0000 2018,"😂🐶🎨 But your dog probably wouldn't sit still long enough for this, right? https://t.co/U2Mdq3bOda",0.0,0.0,1.0,0.0,67
67,BBC,Thu Jul 05 19:03:03 +0000 2018,"Social media companies are deliberately addicting users to their products for financial gain, say Silicon Valley in… https://t.co/5Vn7t2h1SF",0.5267,0.167,0.833,0.0,68
68,BBC,Thu Jul 05 18:00:24 +0000 2018,The town where even the graves are bulletproof. https://t.co/MDyzEuNg3y,-0.296,0.0,0.784,0.216,69
69,BBC,Thu Jul 05 17:04:07 +0000 2018,🎓📚 A Belgian boy has graduated secondary school aged eight after completing six years' study in just a year and a h… https://t.co/eStTYhpek8,0.0,0.0,1.0,0.0,70
